original-id,name-tr,name-alt-tr,address-tr,country-tr,province-tr,district-tr,sub-district-tr,locality-tr,street-tr,street-side-tr,house,address-add-tr,landmark-tr,lon,lat,phone,url,rubric-id,working-time,actualization-date,rubric-keys,source-url,rubric-tr,chain-id
,MÜRSEL BOZTEPE   ( 10/010 ),,HAMİDİYE MAHALLESİ AKÇAY CAD. NO:75  EDREMİT/ BALIKESİR,Türkiye,(10) Balıkesir,,,,,,,,,39.597500,3763241312,+90 (376) 3241312,http://www.bpet.com.tr/tr/bayilerimiz/65/mursel-boztepe,,,,,,,
,ALİ UÇAR   ( 10/006 ),,ÜÇEYLÜL MAHAELLESİ BALIKESİR YOLU 3.KM DURSUNBEY/ BALIKESİR,Türkiye,(10) Balıkesir,,,,,,,,,39.577255,2666621962,+90 (266) 6626223,http://www.bpet.com.tr/tr/bayilerimiz/64/ali-ucar,,,,,,,
,KARAKÜTÜKLER PETROL   ( 09/009 ),,ARSLANLI CUMHURİYET MAHALLESİ BAHÇE EVLERİ SOKAK NO:24 (PAFTA: M20B08D2C ADA: - PARSEL: 2545 ) NAZİLLİ/AYDIN,Türkiye,(09) Aydın,,,,,,,,,37.913611,2583720460,+90 (258) 3720555,http://www.bpet.com.tr/tr/bayilerimiz/62/karakutukler-petrol,,,,,,,
,AVŞAR PETROL   ( 07/017 ),,BURUNUCU MAHALLESİ24a20 PAFTA 1031 PARSEL/ANTALYA,Türkiye,(07) Antalya,,,,,,,,,36.342361,2428656466,+90 (242) 8656466,http://www.bpet.com.tr/tr/bayilerimiz/743/avsar-petrol,,,,,,,
,AKSPET PETROL   ( 07/016 ),,ALANYA YOLU ÜZERİ 8.KM (PARSEL:802 ) MANAVGAT/ ANTALYA,Türkiye,(07) Antalya,,,,,,,,,36.748422,,+90 () ,http://www.bpet.com.tr/tr/bayilerimiz/694/akspet-petrol,,,,,,,
,SIRPETROL   ( 11/007 ),,CUMHURİYET MAHALLESİ BOZÜYÜK CADDESİ NO.60 ( ADA:34  PAFTA:30L1A  PARSEL:61 ) SÖĞÜT/ BİLECİK,Türkiye,(11) Bilecik,,,,,,,,,40.024441,,+90 () ,http://www.bpet.com.tr/tr/bayilerimiz/728/sirpetrol,,,,,,,
,HALİS ÇİMEN   ( 11/006 ),,İSTASYON MAHALLESİ ATATÜRK BULVARI NO:1 VEZİRHAN BELDESİ/ BİLECİK,Türkiye,(11) Bilecik,,,,,,,,,40.243429,2282331009,+90 (228) 2331406,http://www.bpet.com.tr/tr/bayilerimiz/659/halis-cimen,,,,,,,
,HBS PETROL   ( 07/015 ),,ÇOMAKLI KASABASI ÖZALTI MEVKİİ KORKUTELİ ASFALTI ÜZERİ (PAFTA: 14 PARSEL: 3896) KORKUTELİ/ ANTALYA,Türkiye,(07) Antalya,,,,,,,,,37.277683,2426625333,+90 (242) 6625333,http://www.bpet.com.tr/tr/bayilerimiz/657/hbs-petrol,,,,,,,
,ÖZERLER PETROL   ( 04/006 ),,CUMHURİYET MAHALLESİ DOĞUBEYAZIT YOLU ÜZERİ 261 ADA PARSEL CADDE HANİBABA SOKAK NO: 96(PAFTA: - ADA: 261 PARSEL:2,Türkiye,(04) Ağrı,,,,,,,,,39.719056,,+90 () ,http://www.bpet.com.tr/tr/bayilerimiz/45/ozerler-petrol,,,,,,,
,ESENDAĞ PETROL   ( 24/008 ),,ATATÜRK MAHALLESİ E-80 KARAYOLU ÜZERİ NO:50 (Ada:228  Pafta:İ44B23B4  Parsel:14) TERCAN/ ERZİNCAN,Türkiye,(24) Erzincan,,,,,,,,,39.776091,4462243207,+90 (446) 4413599,http://www.bpet.com.tr/tr/bayilerimiz/120/esendag-petrol,,,,,,,
,ERDOĞAN KAYA   ( 24/007 ),,KAVAKYOLU BELDESİ CUMHURİYET MAHALLESİ SİVAS CADDESİ NO:2 / ERZİNCAN,Türkiye,(24) Erzincan,,,,,,,,,39.751269,4462240228,+90 (446) 2240228,http://www.bpet.com.tr/tr/bayilerimiz/121/erdogan-kaya,,,,,,,
,AYDIN PETROL   ( 10/014 ),,ŞARKÖY - (PAFTA: 29-27-J ADA:- PARSEL: 743) BURHANİYE/BALIKESİR,Türkiye,(10) Balıkesir,,,,,,,,,39.486388,2664127372,+90 (266) 4127372,http://www.bpet.com.tr/tr/bayilerimiz/66/aydin-petrol,,,,,,,
,HARUN REŞİT DURMAZ   ( 80/019 ),,ÇIRAZ MAHALLESİ MİMAR SİNAN CADDESİ NO:66 (PAFTA:- ADA:- PARSEL:1379) ELLEK / DÜZİÇİ / OSMANİYE,Türkiye,(80) Osmaniye,,,,,,,,,37.208055,3288827418,+90 (328) 8827199,http://www.bpet.com.tr/tr/bayilerimiz/400/harun-resit-durmaz,,,,,,,
,KENAN YALÇIN   ( 80/018 ),,KAYALI KÖYÜ D-400 KARAYOLU ÜZERİ (ADA:4 PAFTA:1-2 PARSEL:4 )MERKEZ / OSMANİYE,Türkiye,(80) Osmaniye,,,,,,,,,37.150000,3288760491,+90 (328) 8342740,http://www.bpet.com.tr/tr/bayilerimiz/402/kenan-yalcin,,,,,,,
,ÖZALPEREN PETROL   ( 80/017 ),,DÖĞENLİ MAH. HÜKÜMET CAD. NO: 2 (PAFTA: 12 ADA: - PARSEL: 597) SUMBAS OSMANİYE,Türkiye,(80) Osmaniye,,,,,,,,,37.444167,3287848432,+90 (328) 7848432,http://www.bpet.com.tr/tr/bayilerimiz/406/ozalperen-petrol,,,,,,,
,F-B PETROL   ( 80/013 ),,D-400 KARAYOLU ÜSTÜ TÜYSÜZ BELDESİ YOLÇATI LOKANTASI BİTİŞİĞİ TOPRAKKALE/OSMANİYE,Türkiye,(80) Osmaniye,,,,,,,,,37.061388,3288268427,+90 (328) 8268646,http://www.bpet.com.tr/tr/bayilerimiz/405/f-b-petrol,,,,,,,
,CK PETROL   ( 80/011 ),,ŞEHİT KANSU KÜÇÜKATEŞ MAH. KARACA ALİ CAD. NO:1  KADİRLİ /OSMANİYE,Türkiye,(80) Osmaniye,,,,,,,,,37.365833,3287188029,+90 (328) 7188029,http://www.bpet.com.tr/tr/bayilerimiz/403/ck-petrol,,,,,,,
,ALMILA PETROL   ( 80/012 ),,CENGİZ TOPEL MAHALLESİ OSMANİYE BULVARI NO:391 KADİRLİ/OSMANİYE,Türkiye,(80) Osmaniye,,,,,,,,,37.343888,3287188514,+90 (328) 7188514,http://www.bpet.com.tr/tr/bayilerimiz/404/almila-petrol,,,,,,,
,AYDER AKARYAKIT   ( 81/020 ),,BEYCİLER MAHALLESİ 1709. SOKAĞI NO:1/A-B-C(ADA:474PAFTA:34H2APARSEL:15) MERKEZ/ DÜZCE,Türkiye,(81) Düzce,,,,,,,,,40.867222,3805262224,+90 (380) 5262226,http://www.bpet.com.tr/tr/bayilerimiz/409/ayder-akaryakit,,,,,,,
,KAPET PETROL   ( 01/047 ),,YILANKALE MAHALLESİ YILANKALE D-400 BULVARI NO:117 IŞYERİ NO:Z2  PARSEL:575 CEYHAN/ ADANA,Türkiye,(01) Adana,,,,,,,,,37.029011,3242349091,+90 (322) 6468195,http://www.bpet.com.tr/tr/bayilerimiz/721/kapet-petrol,,,,,,,
,NECATİLER PETROL   ( 01/046 ),,ŞEHİT SÜLEYMAN KILINÇ BUL. NO:1 ZEYTİNBELİ KASABASI YUMURTALIK/ ADANA,Türkiye,(01) Adana,,,,,,,,,36.810980,,+90 () ,http://www.bpet.com.tr/tr/bayilerimiz/700/necatiler-petrol,,,,,,,
,CELAL İNCELER   ( 01/045 ),,ADANA YOLU ÜZERİ TUFANLI  KOZAN/ADANA,Türkiye,(01) Adana,,,,,,,,,37.390400,3225392082,+90 (322) 5392082,http://www.bpet.com.tr/tr/bayilerimiz/698/celal-inceler,,,,,,,
,ŞAR PETROL   ( 01/044 ),,CUMHURİYET MAHALLESİ CUMHURİYET BULVARI NO:16/(ADA:394 PARSEL:1) TUFANBEYLİ/ ADANA,Türkiye,(01) Adana,,,,,,,,,38.250278,3227818290,+90 (322) 7818082,http://www.bpet.com.tr/tr/bayilerimiz/1/sar-petrol,,,,,,,
,ŞAH ÖZ DİYARBAKIR PETROL   ( 01/038 ),,KÜÇÜKDİKİLİ BELDESİ ŞEHİTLİK CADDESİ NO.126 SEYHAN ADANA,Türkiye,(01) Adana,,,,,,,,,37.004444,3224331289,+90 (322) 4331289,http://www.bpet.com.tr/tr/bayilerimiz/11/sah-oz-diyarbakir-petrol,,,,,,,
,UTKU PETROL   ( 01/030 ),,TEPEKCİKÖREN KÖYÜ KOZAN/ADANA,Türkiye,(01) Adana,,,,,,,,,37.369444,3225153993,+90 (322) 5382112,http://www.bpet.com.tr/tr/bayilerimiz/7/utku-petrol,,,,,,,
,KUR-DEV PETROL   ( 01/032 ),,ŞEVKİYE MAHALLESİ SIRKINTI CADDESİ (1479 PAFTA 1 PARSEL) KOZAN / ADANA,Türkiye,(01) Adana,,,,,,,,,37.441889,3225152444,+90 (322) 5158771,http://www.bpet.com.tr/tr/bayilerimiz/8/kur-dev-petrol,,,,,,,
,EYVAN PETROL   ( 01/025 ),,19 MAYIS MAHALLESİ ÇUKUROVA CADDESİ N:266/A YÜREĞİR/ADANA,Türkiye,(01) Adana,,,,,,,,,36.980692,3223217210,+90 (323) 3226363,http://www.bpet.com.tr/tr/bayilerimiz/5/eyvan-petrol,,,,,,,
,BELKIS PETROL   ( 01/024 ),,BURUK BELDESİ İSTİKLAL MAHALLESİ 3.CADDE N:1 YÜREĞİR/ADANA,Türkiye,(01) Adana,,,,,,,,,37.042777,3223413686,+90 (322) 3414599,http://www.bpet.com.tr/tr/bayilerimiz/4/belkis-petrol,,,,,,,
,SABİTOĞLU PETROL   ( 81/019 ),,YAZIPINAR MAHALLESİ ŞEHİT ERCAN CADDESİ BAĞLANTI YOLU NO:1 ( PAFTA:1  PARSEL:551-373 ) GÖLYAKA/ DÜZCE,Türkiye,(81) Düzce,,,,,,,,,40.797505,2165050056,+90 (216) 5052255,http://www.bpet.com.tr/tr/bayilerimiz/719/sabitoglu-petrol,,,,,,,
,ÇETİNKAYA KARDEŞLER PETROL   ( 01/021 ),,BAŞPINAR MAHALLESİ ATATÜRK CADDESİ ÜZERİ FUTBOL SAHASI KUZEYİ ÇAKAL ÇUKURU MEVKİ İ ALADAĞ/ADANA,Türkiye,(01) Adana,,,,,,,,,37.539722,3223292484,+90 (322) 3292484,http://www.bpet.com.tr/tr/bayilerimiz/3/cetinkaya-kardesler-petrol,,,,,,,
,ULU ÇINAR PETROL   ( 81/018 ),,DOKUZDEĞİRMEN KÖYÜ NO:25/1 (ADA:552  PAFTA:8  PARSEL: -) CUMAYERİ/ DÜZCE,Türkiye,(81) Düzce,,,,,,,,,40.908170,3807426162,+90 (380) 7426162,http://www.bpet.com.tr/tr/bayilerimiz/656/ulu-cinar-petrol,,,,,,,
,ÇAKIROĞLU AKARYAKIT   ( 81/017 ),,ÇAYBÜKÜ KÖYÜ ANKARA CD. NO: 102 (PAFTA: G25B15C4A-D ADA: 281 PARSEL: 2) GÜMÜŞOVA DÜZCE,Türkiye,(81) Düzce,,,,,,,,,40.920000,3805145354,+90 (380) 7312017,http://www.bpet.com.tr/tr/bayilerimiz/410/cakiroglu-akaryakit,,,,,,,
,KAMİL ÖZTÜRK   ( 81/002 ),,ORHANGAZİ  MAH. DÜZCE  CAD NO:50 YIĞILCA  / DÜZCE,Türkiye,(81) Düzce,,,,,,,,,40.957255,3806514597,+90 (380) 6514597,http://www.bpet.com.tr/tr/bayilerimiz/408/kamil-ozturk,,,,,,,
,KARATAŞ PETROL   ( 25/023 ),,YENİ MAHALLE E-80 KARAYOLU SOKAK NO:132 (PAFTA:İ46.A02.C ADA:- PARSEL:597) AZİZİYE / ERZURUM,Türkiye,(25) Erzurum,,,,,,,,,39.972500,,+90 () ,http://www.bpet.com.tr/tr/bayilerimiz/126/karatas-petrol,,,,,,,
,AKÖZDEMİR PETROL   ( 25/019 ),,ERZURUM-PASİNLER YOLUHAMAM DERESİ MEVKİİ 15 KM. ERZURUM,Türkiye,(25) Erzurum,,,,,,,,,39.970833,4426772310,+90 (442) 6772310,http://www.bpet.com.tr/tr/bayilerimiz/124/akozdemir-petrol,,,,,,,
,KARAKOL KARDEŞLER AKARYAKIT   ( 03/010 ),,YENİ MAHALLE  İNÖNÜ CADDESİ PAZAR YANI NO.22 TINAZTEPE KASABASI SİNANPAŞA / AFYONKARAHİSAR,Türkiye,(03) Afyon,,,,,,,,,38.730555,2723222144,+90 (272) 3222144,http://www.bpet.com.tr/tr/bayilerimiz/41/karakol-kardesler-akaryakit,,,,,,,
,ÇİFTBAŞAK AKARYAKIT   ( 03/012 ),,BUCAK MAH.BOLVADİN YOLU 2 KM (PAFTA NO:9 PARSEL NO.3913) ÇOBANLAR /AFYONKARAHİSAR,Türkiye,(03) Afyon,,,,,,,,,38.705277,2722613377,+90 (272) 2612700,http://www.bpet.com.tr/tr/bayilerimiz/42/ciftbasak-akaryakit,,,,,,,
,ŞEREF AYDEMİR   ( 04/004 ),,CUMHURİYET MAHALLESİ ÇEVRE YOLU/ AĞRI,Türkiye,(04) Ağrı,,,,,,,,,39.711773,4722159353,+90 (472) 2159221,http://www.bpet.com.tr/tr/bayilerimiz/44/seref-aydemir,,,,,,,
,KÜÇÜKTEKİN PETROL   ( 07/014 ),,KIZILCADAĞ KÖYÜ AŞAĞI MEVKİİ NO:66/1 (ADA:- PAFTA:- PARSEL:1770) KORKUTELİ/ ANTALYA,Türkiye,(07) Antalya,,,,,,,,,37.012591,2426558033,+90 (242) 6558032,http://www.bpet.com.tr/tr/bayilerimiz/668/kucuktekin-petrol,,,,,,,
